,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
78,facs,18m,24m,male,Phgr1,2.793562889099121,0.00014894583728164434,5.3317515266826376e-05,0.0010606370633468032,3.852414143818363e-20
79,facs,18m,24m,male,Calcrl,2.7457211017608643,0.00011234107660129666,4.0914961573434994e-05,0.0005279775941744447,2.3128656202229507e-47
80,facs,18m,24m,male,Chi3l3,2.7062010765075684,0.0004993371549062431,0.00018451591313350946,0.003320509335026145,1.2329231635401513e-22
81,facs,18m,24m,male,Eno3,2.6865665912628174,1.608801721886266e-05,4.3221534724580124e-05,0.0002974460076075047,1.7468022545377116e-28
82,facs,18m,24m,male,Uox,2.6484158039093018,6.588006363017485e-05,2.487527126504574e-05,0.0005466121365316212,6.226679152602043e-12
83,facs,18m,24m,male,Gm5506,2.5719568729400635,9.246554327546619e-06,2.3781742129358463e-05,5.010141103412025e-05,5.599126833985804e-38
84,facs,18m,24m,male,Musk,2.5567996501922607,1.0789834959723521e-05,2.7587448130361736e-05,0.0002625457418616861,2.677927023275949e-11
85,facs,18m,24m,male,Ugt1a6a,2.554348945617676,2.3316357328440063e-05,9.128100828093011e-06,0.00015561364125460386,2.3179815449315157e-12
86,facs,18m,24m,male,1190003J15Rik,2.553776741027832,7.38860180717893e-05,2.8932057830388658e-05,0.00045152439270168543,7.7588363371258805e-25
87,facs,18m,24m,male,Cxcr2,2.5464887619018555,6.929427036084235e-05,2.7211692213313654e-05,0.0004452337743714452,6.867275406524877e-20
88,facs,18m,24m,male,Serpina1e,2.53352689743042,0.00022177126083988696,8.753460133448243e-05,0.0016589023871347308,3.706071881880554e-14
89,facs,18m,24m,male,Gnmt,2.522618532180786,0.00016467062232550234,6.527765799546614e-05,0.001301610842347145,4.662795522197592e-13
90,facs,18m,24m,male,Itm2a,2.521521806716919,0.00022241580882109702,8.820697257760912e-05,0.0012567866360768676,4.315551103831094e-28
91,facs,18m,24m,male,Aldh1a2,2.487658739089966,1.9937629986088723e-05,8.014615559659433e-06,0.0001731810625642538,8.000646235564357e-06
92,facs,18m,24m,male,Barx2,2.4777443408966064,1.8495251424610615e-05,4.5826509449398145e-05,0.00026387229445390403,8.767837830615495e-30
93,facs,18m,24m,male,Col1a1,2.462207555770874,0.00011226603965042159,4.559568697004579e-05,0.0006732670008204877,2.0203125403229926e-22
94,facs,18m,24m,male,Gatm,2.4539973735809326,0.00013929522538091987,5.676257933373563e-05,0.0008408674621023238,6.275632047941914e-25
95,facs,18m,24m,male,Tcf7,2.4457192420959473,0.0001132332909037359,4.629856630344875e-05,0.000662323844153434,9.445625732349577e-26
96,facs,18m,24m,male,Clca2,2.4225215911865234,1.3615459465654567e-05,3.298374576843344e-05,0.00033856899244710803,2.57117987889848e-09
97,facs,18m,24m,male,Fga,2.420058488845825,1.7434787878300995e-05,4.219320908305235e-05,0.00047454441664740443,1.0398843872806442e-09
98,facs,18m,24m,male,Sh2d1a,2.4127156734466553,3.399422348593362e-05,1.4089609067013953e-05,0.00022562740196008235,5.626542352994243e-14
99,facs,18m,24m,male,Clec14a,2.410391330718994,0.0001341964234597981,5.567412154050544e-05,0.0006990088731981814,7.558342156559722e-32
100,facs,18m,24m,male,Spock2,2.3988988399505615,3.606835161917843e-05,1.503537714597769e-05,0.0002552779915276915,5.676856680732604e-11
