,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
241,droplet,3m,21m,female,Limb_Muscle,B4galnt1,-2.3799190521240234,4.112482565687969e-05,7.900908713054378e-06,0.00013428482634481043,1.403204378636595e-32
242,droplet,3m,21m,female,Mammary_Gland,Nov,2.3703441619873047,3.3256269489356782e-06,1.7195636246469803e-05,8.637924474896863e-05,7.811688531259681e-12
243,droplet,3m,21m,female,Mammary_Gland,Wisp2,2.368330478668213,5.0151011237176135e-06,2.5895140424836427e-05,0.00016831984976306558,2.2557184640531282e-09
244,droplet,3m,21m,female,Limb_Muscle,Bank1,-2.361154079437256,2.3152955691330135e-05,4.506383902480593e-06,0.0001069556237780489,8.563256766969141e-13
245,droplet,3m,21m,female,Spleen,2610018G03Rik,-2.3528237342834473,1.514686482551042e-05,2.965187150039128e-06,6.483180914074183e-05,1.7233530799822083e-12
246,droplet,3m,21m,female,Spleen,Lyst,-2.3528125286102295,4.2500865674810484e-05,8.320139386341907e-06,0.00011385342077119276,7.964868366165294e-58
247,droplet,3m,21m,female,Marrow,Aspm,-2.3462276458740234,2.956873686343897e-05,5.8149753385805525e-06,9.53025373746641e-05,3.263396880567642e-29
248,droplet,3m,21m,female,Marrow,Hnrnpul1,-2.3422656059265137,3.257799835409969e-05,6.424393632187275e-06,6.976815348025411e-05,1.9288403362665372e-54
249,droplet,3m,21m,female,Marrow,Sowaha,-2.3421146869659424,2.1742125682067126e-05,4.2880037653958425e-06,0.00011858337529702112,1.0633596001132752e-08
250,droplet,3m,21m,female,Liver,Vasp,2.33366322517395,2.0007357306894846e-05,0.00010085383109981194,0.00020294512796681374,7.378936653534966e-08
251,droplet,3m,21m,female,Liver,Sult2a2,2.3291709423065186,0.00012905265612062067,0.0006485108169727027,0.001027552643790841,4.155478711279737e-15
252,droplet,3m,21m,female,Mammary_Gland,Rai2,2.3279552459716797,2.2495748908113455e-06,1.1294967407593504e-05,4.562903995974921e-05,2.5610343552363366e-08
253,droplet,3m,21m,female,Spleen,Nrp2,2.318413496017456,3.3432902455388103e-06,1.667577998887282e-05,6.438134732889012e-05,1.0823605278953882e-17
254,droplet,3m,21m,female,Spleen,Itgax,2.3167567253112793,7.286050731636351e-06,3.629990533227101e-05,0.00012875102402176708,3.0307055073882182e-40
255,droplet,3m,21m,female,Limb_Muscle,Hmha1,-2.316746234893799,9.651963046053424e-05,1.937338493007701e-05,0.0002593333483673632,5.635131987573969e-52
256,droplet,3m,21m,female,Kidney,Aadat,2.3123457431793213,0.00011650807573460042,0.0005786839756183326,0.0018906621262431145,2.937274617319839e-17
257,droplet,3m,21m,female,Mammary_Gland,Adh1,2.3074188232421875,3.0848827918816824e-06,1.5270068615791388e-05,6.127006781753153e-05,2.3053537743770066e-13
258,droplet,3m,21m,female,Spleen,Ly6c1,-2.305532932281494,1.9892964701284654e-05,4.024064310215181e-06,0.00011829285358544439,1.8593641196874612e-09
259,droplet,3m,21m,female,Spleen,Sdc1,2.304431438446045,3.968249529862078e-06,1.9602075553848408e-05,0.00010733758972492069,3.9887159516587245e-13
260,droplet,3m,21m,female,Marrow,Ube2o,-2.2979025840759277,2.876734288292937e-05,5.850084562553093e-06,0.0001021186908474192,2.5909429942717074e-23
261,droplet,3m,21m,female,Kidney,Figf,2.2974400520324707,4.975426691089524e-06,2.445844074827619e-05,0.00011981950228800997,6.164093536488705e-06
262,droplet,3m,21m,female,Marrow,Cecr2,-2.294642925262451,1.7073371054721065e-05,3.4798688375303755e-06,7.273570372490212e-05,1.779192168101023e-11
263,droplet,3m,21m,female,Mammary_Gland,Gpnmb,2.2897958755493164,5.967603101453278e-06,2.9180800993344747e-05,0.00010715545795392245,5.059277424465196e-27
264,droplet,3m,21m,female,Marrow,Spna1,-2.28973126411438,2.2117705157143064e-05,4.523370989772957e-06,9.77015879470855e-05,2.6641238138707235e-13
265,droplet,3m,21m,female,Limb_Muscle,Ms4a1,-2.288405179977417,3.304767233203165e-05,6.764912996004568e-06,0.00015356235962826759,4.5350341591714686e-13
266,droplet,3m,21m,female,Marrow,Tfdp2,-2.281505584716797,9.845506428973749e-05,2.025053254328668e-05,0.00029875707696191967,5.644268196951513e-43
267,droplet,3m,21m,female,Spleen,Plscr1,2.275789976119995,1.124727805290604e-05,5.446638533612713e-05,0.0001359983580186963,2.3333662028086123e-83
268,droplet,3m,21m,female,Marrow,Tnfrsf13b,-2.2695817947387695,1.3100892829243094e-05,2.7169930945092347e-06,4.44592151325196e-05,1.317228475799672e-10
269,droplet,3m,21m,female,Marrow,Asprv1,2.268284320831299,6.334051704470767e-06,3.0514287573168986e-05,0.00018201523926109076,2.1184462192399488e-12
270,droplet,3m,21m,female,Limb_Muscle,H2-Oa,-2.267314910888672,4.5274948206497356e-05,9.40433528739959e-06,0.00018198025645688176,7.93850461509226e-20
271,droplet,3m,21m,female,Mammary_Gland,Nsg1,2.2651572227478027,3.4235367820656393e-06,1.6457177480333485e-05,5.708773824153468e-05,6.186704730788223e-17
272,droplet,3m,21m,female,Lung,Gm5506,-2.2626585960388184,6.662370287813246e-05,1.3883553947380278e-05,0.00012922626046929508,1.702592402323386e-38
273,droplet,3m,21m,female,Liver,Rn45s,-2.2591397762298584,0.006955366116017103,0.0014529515756294131,0.01342978049069643,9.365704476488552e-17
274,droplet,3m,21m,female,Limb_Muscle,H2-Ob,-2.2548508644104004,5.899107418372296e-05,1.235971740243258e-05,0.00021825451403856277,9.763717759612613e-25
275,droplet,3m,21m,female,Spleen,Zfyve21,2.2532193660736084,3.9741948967275675e-06,1.8946799173136242e-05,7.404194184346125e-05,4.770215541566206e-20
276,droplet,3m,21m,female,Limb_Muscle,Gpr171,-2.252708911895752,2.8163347451481968e-05,5.90950776313548e-06,0.00012301353854127228,3.752288473005053e-13
277,droplet,3m,21m,female,Spleen,Elk4,-2.248961925506592,1.5661211364204064e-05,3.2947332329058554e-06,6.473938992712647e-05,8.356911140460044e-13
278,droplet,3m,21m,female,Limb_Muscle,Hcst,-2.2448372840881348,5.267483720672317e-05,1.1113217624370009e-05,0.0001874983572633937,1.3811108365769361e-25
279,droplet,3m,21m,female,Liver,Ucp2,2.2412831783294678,4.0253209590446204e-05,0.00019032419368159026,0.0004038242332171649,4.60124434414535e-06
280,droplet,3m,21m,female,Kidney,Inmt,-2.2412078380584717,0.0001382367336191237,2.9238335628178902e-05,0.0002710584958549589,2.887700443570963e-32
281,droplet,3m,21m,female,Marrow,Fosb,-2.2359910011291504,0.00010712548100855201,2.2740099666407332e-05,0.00016901698836591095,4.4785400721197767e-147
282,droplet,3m,21m,female,Spleen,Tnfsf8,2.2304883003234863,1.2358991625660565e-05,5.799985956400633e-05,0.00030388461891561747,3.721998335797098e-24
283,droplet,3m,21m,female,Spleen,Sh2d1b1,2.2256691455841064,3.731806828000117e-06,1.745470035530161e-05,6.791052146581933e-05,3.630379843846193e-17
284,droplet,3m,21m,female,Marrow,Ccnd1,-2.2244038581848145,3.084472336922772e-05,6.600373126275372e-06,0.00014282007759902626,1.4223720847596652e-13
285,droplet,3m,21m,female,Spleen,Gm4759,-2.2208809852600098,3.775469303946011e-05,8.09877019491978e-06,0.00010612952610244974,2.0032819159914933e-47
286,droplet,3m,21m,female,Limb_Muscle,Pou2af1,-2.2197775840759277,2.442507684463635e-05,5.243439318292076e-06,0.00012451180373318493,1.89756791940128e-09
287,droplet,3m,21m,female,Liver,Rpl34,2.2168869972229004,1.631158920645248e-05,7.583082333439961e-05,0.00016026609227992594,2.3085171308869867e-06
288,droplet,3m,21m,female,Marrow,Slfn5,-2.2154273986816406,4.771260137204081e-05,1.027360758598661e-05,0.0001802089682314545,5.592350966031357e-24
289,droplet,3m,21m,female,Lung,Gzmm,2.212829351425171,6.0161823967064265e-06,2.7890033379662782e-05,0.00015081732999533415,1.080530381337416e-06
290,droplet,3m,21m,female,Limb_Muscle,Cxcr5,-2.2117879390716553,1.600042378413491e-05,3.453956878729514e-06,8.6398416897282e-05,3.1482724647574495e-06
291,droplet,3m,21m,female,Marrow,Cd2ap,-2.2079243659973145,3.718970401678234e-05,8.049542884691618e-06,8.993016672320664e-05,1.2683188277548868e-47
292,droplet,3m,21m,female,Spleen,Sec24d,2.207470655441284,2.5292863483628025e-06,1.1681887372105848e-05,5.624421464744955e-05,1.1465706233487996e-07
293,droplet,3m,21m,female,Spleen,1700026L06Rik,2.2071268558502197,3.0315150070236996e-06,1.3998169379192404e-05,5.9990608860971406e-05,2.2166705423156273e-11
294,droplet,3m,21m,female,Mammary_Gland,5031426D15Rik,2.205634593963623,6.870680408610497e-06,3.169289993820712e-05,9.074188710656017e-05,2.649535334403155e-40
295,droplet,3m,21m,female,Spleen,Cct6a,-2.204146146774292,4.474345041671768e-05,9.709912774269469e-06,0.00010725542961154133,7.721280134530441e-66
296,droplet,3m,21m,female,Marrow,Trip11,-2.198185682296753,3.0781200621277094e-05,6.70757708576275e-06,7.067033584462479e-05,2.3720648555116794e-44
297,droplet,3m,21m,female,Kidney,Slc22a13,2.1957106590270996,1.1912925401702523e-05,5.457493898575194e-05,0.00022698943212162703,2.4783638199970906e-08
298,droplet,3m,21m,female,Mammary_Gland,Smpd3,2.1946985721588135,1.8306651327293366e-05,8.380675717489794e-05,0.00040722714038565755,6.790042831697328e-20
299,droplet,3m,21m,female,Spleen,Tbx21,2.1937220096588135,8.407618224737234e-06,3.846352774417028e-05,0.0001125000198953785,2.972406062074311e-51
300,droplet,3m,21m,female,Liver,Ces3a,-2.1931376457214355,0.0007210442563518882,0.00015767458535265177,0.0005641700117848814,3.5885849853497508e-96
301,droplet,3m,21m,female,Marrow,Mef2a,-2.191302537918091,2.7108982976642437e-05,5.935610715823714e-06,6.932279939064756e-05,1.4323951465091966e-34
302,droplet,3m,21m,female,Liver,Wdr89,2.185037136077881,4.3930554966209456e-05,0.000199769128812477,0.000324225053191185,8.942115665802782e-14
303,droplet,3m,21m,female,Marrow,Hba-a2,-2.181391716003418,0.0003070473612751812,6.769257743144408e-05,0.0010018334724009037,7.477877152824807e-36
304,droplet,3m,21m,female,Limb_Muscle,Epsti1,-2.1809487342834473,2.5928766262950376e-05,5.718087777495384e-06,0.00014086629380472004,2.7969558073816313e-09
305,droplet,3m,21m,female,Marrow,Lifr,-2.1788673400878906,1.3656434930453543e-05,3.0160099413478747e-06,5.9931640862487257e-05,6.952858150243145e-08
306,droplet,3m,21m,female,Mammary_Gland,Ehd2,2.17803955078125,7.692709914408624e-06,3.4812452213373035e-05,8.695708675077185e-05,4.358810537462562e-52
307,droplet,3m,21m,female,Marrow,Rsad2,-2.1766176223754883,0.00010718208068283275,2.3708002117928118e-05,0.00048385534319095314,7.56349527978321e-17
308,droplet,3m,21m,female,Mammary_Gland,Uchl1,2.171950578689575,2.6497405087866355e-06,1.1940587683056947e-05,5.938924732618034e-05,1.0720677213855448e-06
309,droplet,3m,21m,female,Spleen,Adora2a,2.171095609664917,8.3696395449806e-06,3.769395698327571e-05,0.00010766353807412088,9.549966879128774e-53
310,droplet,3m,21m,female,Lung,Rps19-ps3,-2.1705222129821777,6.491927342722192e-05,1.4420533261727542e-05,0.00013217322702985257,1.5112820662104295e-33
311,droplet,3m,21m,female,Marrow,Hist1h1e,-2.165416717529297,0.0003098185989074409,6.90640663378872e-05,0.0005921815754845738,9.548915497804581e-117
312,droplet,3m,21m,female,Spleen,Bambi-ps1,-2.1622695922851562,1.3898094039177522e-05,3.104896450167871e-06,8.027915464481339e-05,2.007382214772981e-06
313,droplet,3m,21m,female,Spleen,Mgmt,2.158132314682007,3.252144097132259e-06,1.4515514521917794e-05,7.012664718786255e-05,1.4457587537982475e-10
314,droplet,3m,21m,female,Heart_and_Aorta,Zbtb38,-2.1566505432128906,3.9774724427843466e-05,8.92052958079148e-06,8.610392978880554e-05,3.940887816557128e-09
315,droplet,3m,21m,female,Mammary_Gland,Ildr2,2.1516027450561523,2.4864366423571482e-06,1.104776583815692e-05,5.081181006971747e-05,3.0114136789441926e-06
316,droplet,3m,21m,female,Marrow,Ermap,-2.150989532470703,3.264090628363192e-05,7.349364295805572e-06,0.0001435163721907884,4.600160168223028e-15
317,droplet,3m,21m,female,Thymus,Cd79a,2.1355667114257812,3.3279335184488446e-05,0.00014623261813540012,0.0006682724924758077,7.269900325016826e-08
318,droplet,3m,21m,female,Mammary_Gland,Sfrp1,2.133866786956787,1.0657079656084534e-05,4.677309698308818e-05,0.00016118635539896786,2.6705686985100647e-35
319,droplet,3m,21m,female,Marrow,Xpo7,-2.129497766494751,7.460809138137847e-05,1.7050739188562147e-05,0.0003323326527606696,2.6667031149602947e-17
320,droplet,3m,21m,female,Spleen,Gng12,2.124950885772705,9.553253221383784e-06,4.167016959399916e-05,0.00010947894770652056,2.134806357793079e-62
