,Dataset,Start age,End age,sex,tissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
201,droplet,18m,21m,female,Heart_and_Aorta,Rpl26,5.372051239013672,5.3153116823523305e-06,2.8554131858982146e-05,6.801701965741813e-05,7.731180158900904e-13
202,droplet,18m,21m,female,Liver,Rap2b,5.357708930969238,5.147523552295752e-05,9.60769466473721e-06,0.00011918671225430444,3.2868729512944685e-09
203,droplet,18m,21m,female,Mammary_Gland,Ptn,5.351754665374756,7.604657730553299e-05,1.420965236320626e-05,0.0002491050981916487,2.3981598670375882e-32
204,droplet,18m,21m,female,Liver,Fgl2,5.335968017578125,0.00011727460514521226,2.197812864324078e-05,0.00026791400159709156,5.489237510069122e-12
205,droplet,18m,21m,female,Pancreas,Amy1,5.3271026611328125,1.5331268514273688e-05,8.167124906321988e-05,0.0002801193040795624,7.397723430672469e-08
206,droplet,18m,21m,female,Spleen,Acsl3,5.3190813064575195,1.052515199262416e-05,1.978752834475017e-06,5.569983841269277e-05,1.6745190885768227e-06
207,droplet,18m,21m,female,Liver,Cd207,5.314849853515625,0.0002823499671649188,5.312473149388097e-05,0.0006110778194852173,3.89516812912383e-09
208,droplet,18m,21m,female,Liver,Pla2g7,5.302159309387207,9.623885853216052e-05,1.815087853174191e-05,0.0002026577858487144,1.8075002185522106e-12
209,droplet,18m,21m,female,Mammary_Gland,Nupr1,5.283998012542725,0.0009893262758851051,0.0001872306311270222,0.0025067084934562445,1.656325589259095e-61
210,droplet,18m,21m,female,Marrow,Zfp935,5.272653102874756,4.115120100323111e-05,7.804646884324029e-06,0.0001821137557271868,4.73145648963159e-16
211,droplet,18m,21m,female,Liver,Gngt2,5.26291561126709,0.0005422718240879476,0.00010303639282938093,0.0007702077273279428,4.70053344179415e-33
212,droplet,18m,21m,female,Liver,Tyrobp,5.25706672668457,0.0017439178191125393,0.0003317283117212355,0.0022259941324591637,1.1780637438632975e-38
213,droplet,18m,21m,female,Liver,Mnda,5.2451252937316895,4.9599300837144256e-05,9.45626561588142e-06,0.00012907890777569264,4.4471534632121017e-07
214,droplet,18m,21m,female,Liver,Aif1,5.238533973693848,0.0004408037639223039,8.414639887632802e-05,0.0006740465178154409,6.581512810206378e-26
