,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
4708,droplet,3m,24m,male,Bladder,nan,Aldh2,2.17075777053833,0.0002781536604743451,0.0001281366712646559,0.00034408754436299205,1.0930797430172821e-56
4709,droplet,3m,24m,male,Bladder,nan,Csrp1,2.1701550483703613,0.00030686447280459106,0.0001414020953234285,0.0004922031075693667,2.239930823143596e-32
4710,droplet,3m,24m,male,Tongue,nan,Tmem154,2.1701061725616455,7.84260828368133e-06,1.701929431874305e-05,4.2321771616116166e-05,4.6700683495440226e-09
4711,droplet,3m,24m,male,Bladder,nan,Tmem107,2.170069456100464,2.525158561184071e-05,1.1636301678663585e-05,6.504316115751863e-05,5.456586262662577e-07
4712,droplet,3m,24m,male,Kidney,nan,Herpud1,2.1681342124938965,0.00027866812888532877,0.0001285290054511279,0.00035776649019680917,5.96896104119418e-45
4713,droplet,3m,24m,male,Kidney,nan,Csrnp1,2.1681180000305176,6.639670755248517e-05,3.062411997234449e-05,0.00015661955694667995,9.140391199044843e-09
4714,droplet,3m,24m,male,Bladder,nan,Gpsm3,2.168113946914673,3.226609987905249e-05,1.4882103641866706e-05,7.587033906020224e-05,1.5188653035112505e-09
4715,droplet,3m,24m,male,Kidney,nan,2810407C02Rik,2.1677286624908447,0.00022415175044443458,0.00010340397420804948,0.00023187222541309893,4.948021742398294e-60
4716,droplet,3m,24m,male,Bladder,nan,Snhg11,2.1674509048461914,1.6012085325201042e-05,3.4705411962931976e-05,9.623780351830646e-05,1.0442362897077794e-10
4717,droplet,3m,24m,male,Kidney,nan,Abhd16a,2.1670823097229004,7.091444422258064e-05,3.272346657468006e-05,0.00012904059258289635,2.8068706591186105e-16
4718,droplet,3m,24m,male,Kidney,nan,Rnft1,2.1658267974853516,4.1184692236129194e-05,1.901568793982733e-05,8.9202520030085e-05,2.4560206092244445e-09
4719,droplet,3m,24m,male,Tongue,nan,Cyp51,2.1646568775177,4.3005864426959306e-05,9.30929381866008e-05,0.00014197782729752362,5.75677629950378e-84
4720,droplet,3m,24m,male,Kidney,nan,Sema4a,2.1642332077026367,4.416897354531102e-05,2.040859908447601e-05,0.00010029738768935204,1.5649964231313243e-08
4721,droplet,3m,24m,male,Bladder,nan,Tcea3,2.163844108581543,3.508545341901481e-05,1.621440787857864e-05,7.491232827305794e-05,1.4242124519682298e-13
4722,droplet,3m,24m,male,Kidney,nan,Atxn1,2.163827657699585,3.710863893502392e-05,1.7149533960036933e-05,9.184117516269907e-05,1.9756835985931886e-06
4723,droplet,3m,24m,male,Spleen,nan,Rpl31-ps12,2.1637260913848877,0.0008658759179525077,0.0004001781635452062,0.0005196311394684017,1.2085586685077774e-308
4724,droplet,3m,24m,male,Bladder,nan,Slc35b2,2.163618326187134,3.65716296073515e-05,1.690299359324854e-05,7.310169894481078e-05,6.431052028895395e-15
4725,droplet,3m,24m,male,Bladder,nan,1810055G02Rik,2.163344383239746,4.454074951354414e-05,2.0588837287505157e-05,8.867499855114147e-05,1.0425188378980672e-17
4726,droplet,3m,24m,male,Bladder,nan,Serpine1,2.163302183151245,0.0003441921144258231,0.0001591049658600241,0.000549896212760359,4.628448336818199e-35
4727,droplet,3m,24m,male,Tongue,nan,Casp6,2.1631381511688232,2.4162864065147005e-05,1.1170281140948646e-05,5.129443889018148e-05,4.201188399942575e-18
4728,droplet,3m,24m,male,Kidney,nan,Ifi27l2a,2.1630074977874756,0.00014569974155165255,0.0003151496348436922,0.0006786308367736638,2.53656619799916e-14
4729,droplet,3m,24m,male,Kidney,nan,Rpgrip1,2.162954330444336,1.640385562495794e-05,3.548079257598147e-05,9.972788393497467e-05,2.372067152423445e-10
4730,droplet,3m,24m,male,Bladder,nan,Pkd1,2.1619012355804443,3.944761192542501e-05,1.824672108341474e-05,7.998423825483769e-05,1.3305970683464105e-14
4731,droplet,3m,24m,male,Kidney,nan,Mif,2.1605823040008545,0.0006314092897810042,0.0002922403218690306,0.0006649733986705542,6.80730899543689e-60
4732,droplet,3m,24m,male,Kidney,nan,Cbr1,2.1601288318634033,5.620773299597204e-05,2.6020545192295685e-05,0.00010978603677358478,7.167484617907904e-13
4733,droplet,3m,24m,male,Kidney,nan,Eif2b5,2.160116672515869,4.325343979871832e-05,2.002365727094002e-05,9.789031173568219e-05,1.4408186730964877e-08
4734,droplet,3m,24m,male,Bladder,nan,Dexi,2.1598565578460693,2.1892348740948364e-05,1.01360183180077e-05,5.627295104204677e-05,2.352121500292125e-06
4735,droplet,3m,24m,male,Bladder,nan,Nucb2,2.15960955619812,5.263795537757687e-05,2.4373826818191446e-05,9.652175504015759e-05,6.000018322183874e-21
4736,droplet,3m,24m,male,Bladder,nan,Trex1,2.159583806991577,4.261090361978859e-05,1.9731069187400863e-05,9.704066906124353e-05,3.0730046778754173e-12
4737,droplet,3m,24m,male,Kidney,nan,Prrc2a,2.1592040061950684,7.092082523740828e-05,3.284581907792017e-05,0.00012600164336618036,6.00818442118105e-17
4738,droplet,3m,24m,male,Spleen,nan,Rad9,2.1590094566345215,3.5764162021223456e-05,1.6565076293773018e-05,0.00010281739378115162,1.8713641675423916e-09
4739,droplet,3m,24m,male,Kidney,nan,Gclm,2.1586105823516846,6.250472506508231e-05,2.8955997549928725e-05,0.00012413908552844077,6.124679230846529e-12
4740,droplet,3m,24m,male,Kidney,nan,Vamp7,2.1582813262939453,3.276966526755132e-05,1.5183220966719091e-05,8.172239904524758e-05,5.076544862423893e-06
4741,droplet,3m,24m,male,Bladder,nan,Acvrl1,2.157391309738159,5.610224980046041e-05,2.6004667233792134e-05,0.00010445185762364417,1.5398166802560554e-19
4742,droplet,3m,24m,male,Bladder,nan,Mxd4,2.1562421321868896,2.7390216928324662e-05,1.2702755157079082e-05,6.01852843828965e-05,3.3927870378746263e-10
4743,droplet,3m,24m,male,Kidney,nan,Gnpda1,2.1557602882385254,3.592348730308004e-05,1.666395110078156e-05,9.049708023667336e-05,4.6419561386124935e-06
4744,droplet,3m,24m,male,Kidney,nan,Prkaca,2.155172824859619,5.795732795377262e-05,2.6892192181549035e-05,0.00010943494999082759,3.9968113661506965e-14
4745,droplet,3m,24m,male,Kidney,nan,Shoc2,2.155125379562378,3.3982130844378844e-05,1.5768051525810733e-05,8.458367665298283e-05,4.74415029773277e-06
4746,droplet,3m,24m,male,Kidney,nan,Mrps12,2.1550939083099365,0.00011280368198640645,5.2342813432915136e-05,0.00015825867012608796,3.320483372242368e-30
4747,droplet,3m,24m,male,Bladder,nan,Abi3bp,2.154855251312256,4.758785871672444e-05,2.208401565439999e-05,0.00013606404536403716,5.623232970202594e-07
4748,droplet,3m,24m,male,Bladder,nan,Sphk1,2.154240846633911,7.488264964194968e-05,3.476057463558391e-05,0.0001557179057272151,2.6311077910838607e-16
4749,droplet,3m,24m,male,Bladder,nan,Tmem158,2.153578519821167,0.00015839107800275087,7.354785338975489e-05,0.0002866712457034737,3.9657972655200846e-22
4750,droplet,3m,24m,male,Kidney,nan,Ifi203,2.1527633666992188,4.788138539879583e-05,0.00010307729098713025,0.00018663179071154445,6.89912100188199e-21
4751,droplet,3m,24m,male,Bladder,nan,Ly6a,2.152571678161621,0.000751933257561177,0.00034931855043396354,0.000869186595082283,8.407824816380504e-60
4752,droplet,3m,24m,male,Bladder,nan,Scn1b,2.152371883392334,3.246137566748075e-05,1.5081675883266144e-05,8.33252415759489e-05,1.4107825303373524e-07
4753,droplet,3m,24m,male,Kidney,nan,Setd3,2.1519834995269775,9.050260996446013e-05,4.205543882562779e-05,0.00013971283624414355,1.7914351590607198e-23
4754,droplet,3m,24m,male,Kidney,nan,Tnip1,2.151613235473633,1.2845364835811779e-05,2.7638257961370982e-05,8.41933288029395e-05,8.475015488550053e-08
4755,droplet,3m,24m,male,Kidney,nan,Ciao1,2.1513800621032715,5.167119161342271e-05,2.4017694158828817e-05,0.000102680001873523,4.620650781565657e-12
