,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1506,facs,3m,18m,male,Erbb2,-1.041662335395813,1.883425829873886e-05,9.149069228442386e-06,8.579868153901771e-05,1.5517881365102905e-09
1507,facs,3m,18m,female,Csf2ra,1.041627287864685,2.8008982553728856e-05,5.7657842262415215e-05,0.00021969024965073913,1.0535163915688196e-41
1508,facs,3m,18m,male,Lag3,1.040714979171753,6.612069410039112e-05,0.00013602658873423934,0.0004994065384380519,3.745744012995741e-47
1509,facs,3m,18m,male,Ctgf,-1.0406606197357178,3.43943975167349e-05,1.6719281120458618e-05,0.00024122762260958552,4.0626024397144646e-10
1510,facs,3m,18m,male,Crot,-1.0405701398849487,4.695915777119808e-05,2.282850255141966e-05,0.00017917151853907853,1.5796189030957996e-34
1511,facs,3m,18m,male,Srd5a1,-1.040558099746704,1.741243977448903e-05,8.464872735203244e-06,8.095522207440808e-05,5.525751416969666e-08
1512,facs,3m,18m,male,Klhl21,-1.04036283493042,2.5865861971396953e-05,1.2576116205309518e-05,0.00011114759399788454,5.94791678206755e-17
1513,facs,3m,18m,male,Stk38l,-1.0403196811676025,2.5602324967621826e-05,1.2448355846572667e-05,0.0001111526507884264,2.728598532057216e-18
1514,facs,3m,18m,female,Mcam,1.0403189659118652,1.2672362572629936e-05,2.6063024051836692e-05,0.00016009838145691901,2.1461430724112238e-10
1515,facs,3m,18m,male,Pppde2,-1.03978431224823,7.736103725619614e-05,3.762842243304476e-05,0.00025629691663198173,2.636786008621458e-56
1516,facs,3m,18m,male,Cd247,1.0395069122314453,3.952831684728153e-05,8.125144813675433e-05,0.0004908370319753885,2.7031127307851593e-15
1517,facs,3m,18m,female,Capns2,1.038838267326355,1.8914442989625968e-05,3.886110062012449e-05,0.0001967356220120564,1.843040286706694e-19
1518,facs,3m,18m,male,Pdha1,-1.038771152496338,0.00010929909331025556,5.3200445108814165e-05,0.00025621155509725213,2.0986046774087237e-107
1519,facs,3m,18m,male,Slc7a6,-1.03856360912323,3.1391464290209115e-05,1.5281737432815135e-05,0.00011542679567355663,1.8596921669327045e-25
1520,facs,3m,18m,male,Myof,-1.0385247468948364,2.6058640287374146e-05,1.2685998626693618e-05,9.540055907564238e-05,1.2472202707976956e-18
1521,facs,3m,18m,male,Zfp512,-1.038404941558838,2.362354462093208e-05,1.1501488188514486e-05,0.00020657647110056132,4.903262863630647e-07
1522,facs,3m,18m,male,Pkig,1.0379629135131836,5.9947065892629325e-05,0.00012309089652262628,0.000321082683512941,1.8146650771537504e-94
1523,facs,3m,18m,male,Usp47,-1.0377780199050903,4.5865199354011565e-05,2.2339885617839172e-05,0.00015446865290869027,1.2894279053117594e-38
1524,facs,3m,18m,male,Ppp1r15b,-1.0369970798492432,5.098526526126079e-05,2.4847198801580817e-05,0.00015477422857657075,2.391504904212778e-50
1525,facs,3m,18m,male,Anapc4,-1.0358999967575073,3.509284942992963e-05,1.7115185983129777e-05,0.00012807134771719575,4.310437828891976e-22
1526,facs,3m,18m,male,Nbr1,-1.0356379747390747,4.307648123358376e-05,2.1012710931245238e-05,0.00014079253014642745,7.371626271569767e-41
1527,facs,3m,18m,male,Apoc1,1.033865213394165,4.949422873323783e-05,0.00010133955220226198,0.000808540906291455,1.943825415276337e-07
1528,facs,3m,18m,male,Atf2,-1.0338249206542969,3.5409419069765136e-05,1.72944364749128e-05,0.00013711355859413743,2.3090442004491608e-21
