,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
270,droplet,3m,21m,female,Lung,nan,Gm6251,-2.098500967025757,0.00013114471221342683,3.062238829443231e-05,0.000191779006854631,5.254568328899629e-69
271,droplet,3m,21m,female,Spleen,nan,App,2.0983896255493164,4.762991466122912e-06,2.039661558228545e-05,7.342472235905007e-05,5.699606613509372e-22
272,droplet,3m,21m,female,Marrow,nan,Frmd4a,-2.093339204788208,1.2189369954285212e-05,2.8564277272380423e-06,5.05474308738485e-05,5.23229170914346e-07
273,droplet,3m,21m,female,Lung,nan,A530032D15Rik,2.091871738433838,5.329733085090993e-06,2.2720698325429112e-05,9.023507300298661e-05,5.247044548852481e-10
274,droplet,3m,21m,female,Marrow,nan,Stfa2l1,2.0894503593444824,2.4156024664989673e-05,0.00010280463902745396,0.0006208706181496382,1.5775483559651978e-11
275,droplet,3m,21m,female,Marrow,nan,Cdr2,-2.086179494857788,1.8934966647066176e-05,4.459250703803264e-06,7.759939035167918e-05,4.880934159705508e-12
276,droplet,3m,21m,female,Mammary_Gland,nan,Tmem100,2.0842535495758057,1.4060417925065849e-05,5.962399882264435e-05,0.00019671197514981031,3.7150299774548784e-38
277,droplet,3m,21m,female,Limb_Muscle,nan,Rac2,-2.0791053771972656,0.00016125597176142037,3.816301978076808e-05,0.00038269307697191834,2.446747231580512e-61
278,droplet,3m,21m,female,Mammary_Gland,nan,Aif1l,2.0786428451538086,5.8483033171796706e-06,2.470379877195228e-05,9.96116068563424e-05,8.312710042097201e-20
279,droplet,3m,21m,female,Mammary_Gland,nan,Cgref1,-2.0743680000305176,1.1353907211741898e-05,2.6958655325870495e-06,5.377474008128047e-05,4.964897197387289e-06
280,droplet,3m,21m,female,Marrow,nan,Casp3,-2.068039894104004,1.467602214688668e-05,3.49998549609154e-06,4.478227492654696e-05,1.280590531967672e-12
281,droplet,3m,21m,female,Spleen,nan,Zeb2,2.067957639694214,1.5109718333405908e-05,6.335394573397934e-05,0.00015759037341922522,4.930944342940539e-81
282,droplet,3m,21m,female,Marrow,nan,Hist1h3c,-2.0641591548919678,2.614333243400324e-05,6.251540526136523e-06,8.57068516779691e-05,6.331287725203772e-23
283,droplet,3m,21m,female,Marrow,nan,Dhx9,-2.06313157081604,4.3236232158960775e-05,1.0346258022764232e-05,8.027868170756847e-05,1.1230877864168603e-71
284,droplet,3m,21m,female,Mammary_Gland,nan,Creb5,2.0557069778442383,1.9571278244256973e-05,8.136707037920132e-05,0.00017129984917119145,2.1458992751209942e-94
285,droplet,3m,21m,female,Spleen,nan,Myof,-2.054861545562744,1.775513192114886e-05,4.273157628631452e-06,6.79135846439749e-05,7.13934999251508e-15
286,droplet,3m,21m,female,Marrow,nan,Ifi203,-2.054473876953125,0.0001219286787090823,2.9352668207138777e-05,0.00024142801703419536,1.1324142271621684e-92
287,droplet,3m,21m,female,Spleen,nan,Tmem108,-2.0532758235931396,4.890684795100242e-05,1.1783438822021708e-05,0.0001256315445061773,5.78886183286635e-57
288,droplet,3m,21m,female,Mammary_Gland,nan,Tnxb,2.051941156387329,3.351001214468852e-05,0.00013895380834583193,0.00029125428409315646,1.2454105202179028e-104
289,droplet,3m,21m,female,Marrow,nan,Pcm1,-2.0482420921325684,5.258765668259002e-05,1.27145631267922e-05,9.156671876553446e-05,1.5995873127122533e-88
290,droplet,3m,21m,female,Spleen,nan,Phactr2,2.0461883544921875,3.313283286843216e-06,1.3684303667105269e-05,6.0229431255720556e-05,5.207676884846275e-10
291,droplet,3m,21m,female,Limb_Muscle,nan,Ly6d,-2.045870065689087,0.00011458894732641056,2.7750733352149837e-05,0.0005112890503369272,2.279263715917304e-13
292,droplet,3m,21m,female,Mammary_Gland,nan,Csf3,-2.0441901683807373,0.00019533306476660073,4.7360164899146184e-05,0.001133828074671328,1.960707461277221e-11
293,droplet,3m,21m,female,Marrow,nan,Zbed6,-2.033069610595703,1.3191258403821848e-05,3.2230807391897542e-06,4.324455221649259e-05,8.229295189550846e-10
294,droplet,3m,21m,female,Spleen,nan,Ng23,2.0329785346984863,6.315000064205378e-06,2.5844072297331877e-05,8.702721970621496e-05,5.556009050904018e-29
295,droplet,3m,21m,female,Kidney,nan,Napsa,2.0314176082611084,0.000433437671745196,0.0017719207098707557,0.005960766226053238,5.829312083204552e-17
296,droplet,3m,21m,female,Limb_Muscle,nan,Arhgap9,-2.0284459590911865,1.4161007129587233e-05,3.471130867183092e-06,6.526518700411543e-05,8.139938887929591e-07
297,droplet,3m,21m,female,Mammary_Gland,nan,BC064078,2.0265145301818848,3.084496256633429e-06,1.2566836630867328e-05,4.835136132896878e-05,8.909550373820826e-09
298,droplet,3m,21m,female,Limb_Muscle,nan,Slc7a5,2.025385618209839,3.875032689393265e-06,1.5775285646668635e-05,5.971455539111048e-05,2.5659779152283155e-10
299,droplet,3m,21m,female,Kidney,nan,Arg2,2.025075912475586,5.484126631927211e-06,2.2321124561131e-05,9.3518101493828e-05,2.3385509839826316e-06
300,droplet,3m,21m,female,Marrow,nan,Pds5a,-2.0246095657348633,1.8767783330986276e-05,4.612588782038074e-06,4.926870678900741e-05,2.7627818678161035e-20
301,droplet,3m,21m,female,Marrow,nan,Mki67,-2.023078203201294,0.00031893092091195285,7.846741937100887e-05,0.000628966314252466,4.5299831255057776e-100
302,droplet,3m,21m,female,Marrow,nan,Prrc2c,-2.022040843963623,0.00013620695972349495,3.353546708240174e-05,0.00016618119843769819,1.024214132149909e-222
303,droplet,3m,21m,female,Marrow,nan,Tfrc,-2.018707036972046,6.444138853112236e-05,1.5902794984867796e-05,0.0002092351351166144,1.207882834746371e-31
304,droplet,3m,21m,female,Spleen,nan,Itgam,2.0185532569885254,5.967651759419823e-06,2.417956966382917e-05,9.012801456265152e-05,3.837976062560754e-22
305,droplet,3m,21m,female,Spleen,nan,R74862,2.0151398181915283,3.959790774388239e-06,1.600625728315208e-05,6.886638584546745e-05,1.0235289706568322e-12
306,droplet,3m,21m,female,Spleen,nan,A430084P05Rik,2.014291524887085,2.442939512548037e-05,9.869039058685303e-05,0.00020272978872526437,5.688803205573099e-126
307,droplet,3m,21m,female,Marrow,nan,A630007B06Rik,-2.0060877799987793,1.467247238906566e-05,3.6526716939988546e-06,4.565159906633198e-05,4.759022166696999e-12
308,droplet,3m,21m,female,Mammary_Gland,nan,Gzmm,2.004747152328491,4.168498435319634e-06,1.6728950868127868e-05,0.00010113280586665496,2.47827323747454e-06
309,droplet,3m,21m,female,Spleen,nan,Bmp2k,-2.0042760372161865,3.419432323426008e-05,8.5232795754564e-06,9.581464837538078e-05,9.108449952996688e-40
